ID,Name,Experiment,NewCat,CodeCat,Test.Period,Condition,mean10s,HR_Increase,Walking_10
7,Dolly,Pre_Feeding,High,1,1,foodPresentation,50.77213143,13.828,0
8,Dougal,Pre_Feeding,High,1,1,before,73.281125,NA,0
8,Dougal,Pre_Feeding,High,1,1,foodPresentation,63.979016,2.347,0
9,Dougie,Pre_Feeding,Low,0,1,before,51.79457875,NA,0
9,Dougie,Pre_Feeding,Low,0,1,foodPresentation,58.605562,5.657,4
11,Hugo,Pre_Feeding,High,1,1,before,65.996605,NA,0
11,Hugo,Pre_Feeding,High,1,1,foodPresentation,54.26710375,-0.814,0
12,Jamaima,Pre_Feeding,Low,0,1,before,60.02065778,NA,0
12,Jamaima,Pre_Feeding,Low,0,1,foodPresentation,61.679259,12.295,0
14,Livvie,Pre_Feeding,High,1,1,before,55.68013667,NA,0
14,Livvie,Pre_Feeding,High,1,1,foodPresentation,66.061181,9.757,0
15,Lock,Pre_Feeding,Low,0,1,before,42.70179653,NA,0
15,Lock,Pre_Feeding,Low,0,1,foodPresentation,39.893685,-0.871,0
16,Lucy,Pre_Feeding,High,1,1,before,45.60015,NA,0
16,Lucy,Pre_Feeding,High,1,1,foodPresentation,39.16532333,4.009,0
17,Prince,Pre_Feeding,Low,0,1,before,43.28939333,NA,0
17,Prince,Pre_Feeding,Low,0,1,foodPresentation,64.13340778,8.52,0
18,Rio,Pre_Feeding,High,1,1,before,62.446025,NA,0
18,Rio,Pre_Feeding,High,1,1,foodPresentation,41.33008857,4.676,0
19,Sandie,Pre_Feeding,High,1,1,before,39.92322167,NA,0
19,Sandie,Pre_Feeding,High,1,1,foodPresentation,59.90922429,58.237,0
20,Tudor,Pre_Feeding,Low,0,1,before,48.22635625,NA,0
20,Tudor,Pre_Feeding,Low,0,1,foodPresentation,61.18159111,29.677,0
2,Blue,Control,High,1,2,control,44.10421339,NA,0
3,Bonnie,Control,Low,0,2,control,44.29144571,NA,0
4,Boysie,Control,Low,0,2,control,37.72897333,NA,0
5,Chase,Control,Low,0,2,control,46.59363857,NA,0
6,Dax,Control,Low,0,2,control,42.26413857,NA,0
7,Dolly,Control,Low,0,2,control,41.62755857,NA,0
8,Dougal,Control,Low,0,2,control,46.35006875,NA,0
10,Duke,Control,Low,0,2,control,27.6520825,NA,0
11,Hugo,Control,High,1,2,control,28.10183,NA,0
12,Jamaima,Control,Low,0,2,control,43.23204857,NA,0
13,Joey,Control,High,1,2,control,32.6327,NA,0
14,Livvie,Control,Low,0,2,control,44.30310667,NA,0
15,Lock,Control,Low,0,2,control,32.66455,NA,0
16,Lucy,Control,High,1,2,control,43.91858143,NA,0
17,Prince,Control,Low,0,2,control,30.49124,NA,2
18,Rio,Control,Low,0,2,control,41.53104286,NA,0
19,Sandie,Control,Low,0,2,control,37.57008,NA,0
20,Tudor,Control,Low,0,2,control,38.85898571,NA,0
2,Blue,Novel_Object,High,1,2,dropObj,53.644065,-12.377,1
2,Blue,Novel_Object,High,1,2,presentationObj,49.82031875,19.799,0
3,Bonnie,Novel_Object,Low,0,2,dropObj,41.196205,2.859,0
3,Bonnie,Novel_Object,Low,0,2,presentationObj,48.63147857,5.659,2
3,Bonnie,Novel_Object,Low,0,2,removeObj,45.100985,1.452,0
4,Boysie,Novel_Object,Low,0,2,dropObj,38.36610333,0.8,0
4,Boysie,Novel_Object,Low,0,2,presentationObj,38.39908667,2.039,0
4,Boysie,Novel_Object,Low,0,2,removeObj,38.331765,0.294,0
5,Chase,Novel_Object,Low,0,2,dropObj,50.25586333,6.353,5
5,Chase,Novel_Object,Low,0,2,presentationObj,57.660275,11.457,0
5,Chase,Novel_Object,Low,0,2,removeObj,52.81389444,10.52,0
6,Dax,Novel_Object,Low,0,2,dropObj,49.39464143,43.251,0
6,Dax,Novel_Object,Low,0,2,presentationObj,53.04727889,9.843,2
6,Dax,Novel_Object,Low,0,2,removeObj,28.273414,0.044,1
7,Dolly,Novel_Object,Low,0,2,dropObj,44.30890625,1.383,0
7,Dolly,Novel_Object,Low,0,2,presentationObj,43.12867429,1.829,4
7,Dolly,Novel_Object,Low,0,2,removeObj,41.88535,1.114,0
8,Dougal,Novel_Object,Low,0,2,dropObj,43.20267,12.305,0
8,Dougal,Novel_Object,Low,0,2,presentationObj,43.13267286,3.626,0
8,Dougal,Novel_Object,Low,0,2,removeObj,46.74647625,4.616,0
10,Duke,Novel_Object,Low,0,2,dropObj,41.70581,23.434,2
10,Duke,Novel_Object,Low,0,2,presentationObj,31.59667333,26.561,3
10,Duke,Novel_Object,Low,0,2,removeObj,45.44172,22.798,2
11,Hugo,Novel_Object,High,1,2,dropObj,97.70136222,82.862,1
11,Hugo,Novel_Object,High,1,2,presentationObj,36.1136,88.997,3
11,Hugo,Novel_Object,High,1,2,removeObj,90.481833,41.914,0
12,Jamaima,Novel_Object,Low,0,2,dropObj,36.583825,8.117,3
12,Jamaima,Novel_Object,Low,0,2,presentationObj,46.48926429,20.558,1
13,Joey,Novel_Object,High,1,2,dropObj,87.321275,78.78,4
13,Joey,Novel_Object,High,1,2,presentationObj,32.30548333,9.962,0
13,Joey,Novel_Object,High,1,2,removeObj,43.445194,13.274,4
14,Livvie,Novel_Object,Low,0,2,dropObj,48.94149625,15.392,1
14,Livvie,Novel_Object,Low,0,2,presentationObj,45.19058714,5.999,1
14,Livvie,Novel_Object,Low,0,2,removeObj,47.41555875,13.502,2
15,Lock,Novel_Object,Low,0,2,dropObj,34.72350333,6.128,0
15,Lock,Novel_Object,Low,0,2,presentationObj,32.471048,2.406,0
15,Lock,Novel_Object,Low,0,2,removeObj,42.14586857,7.758,0
16,Lucy,Novel_Object,High,1,2,dropObj,68.690214,15.982,3
16,Lucy,Novel_Object,High,1,2,presentationObj,71.28666667,71.7,2
16,Lucy,Novel_Object,High,1,2,removeObj,60.6227,42.235,2
17,Prince,Novel_Object,Low,0,2,dropObj,59.81672222,30.193,0
17,Prince,Novel_Object,Low,0,2,presentationObj,60.877968,31.511,1
17,Prince,Novel_Object,Low,0,2,removeObj,65.424583,36.734,0
18,Rio,Novel_Object,Low,0,2,dropObj,30.863408,3.77,0
18,Rio,Novel_Object,Low,0,2,presentationObj,31.12805,10.072,0
18,Rio,Novel_Object,Low,0,2,removeObj,32.15053167,13.923,0
19,Sandie,Novel_Object,Low,0,2,dropObj,41.37248571,12.837,5
19,Sandie,Novel_Object,Low,0,2,presentationObj,48.41876,38.197,0
19,Sandie,Novel_Object,Low,0,2,removeObj,35.98851,15.279,3
20,Tudor,Novel_Object,Low,0,2,dropObj,35.404895,0.684,0
20,Tudor,Novel_Object,Low,0,2,presentationObj,42.415312,13.696,2
20,Tudor,Novel_Object,Low,0,2,removeObj,38.72403167,0.785,0
1,Beets,Pre_Feeding,High,1,2,before,55.04571667,NA,3
1,Beets,Pre_Feeding,High,1,2,foodPresentation,60.282885,26.904,0
2,Blue,Pre_Feeding,Low,0,2,before,47.94942956,NA,0
2,Blue,Pre_Feeding,Low,0,2,foodPresentation,61.81084143,13.198,1
4,Boysie,Pre_Feeding,Low,0,2,before,31.66135,NA,0
4,Boysie,Pre_Feeding,Low,0,2,foodPresentation,35.719766,17.336,0
5,Chase,Pre_Feeding,Low,0,2,before,39.84039286,NA,0
5,Chase,Pre_Feeding,Low,0,2,foodPresentation,63.419022,13.142,0
6,Dax,Pre_Feeding,High,1,2,before,45.34095714,NA,0
6,Dax,Pre_Feeding,High,1,2,foodPresentation,33.66344167,-1.29,0
7,Dolly,Pre_Feeding,High,1,2,before,72.46916667,NA,2
7,Dolly,Pre_Feeding,High,1,2,foodPresentation,59.05475667,-11.98,0
8,Dougal,Pre_Feeding,Low,0,2,before,39.07799833,NA,0
8,Dougal,Pre_Feeding,Low,0,2,foodPresentation,62.913112,30.295,0
9,Dougie,Pre_Feeding,Low,0,2,before,50.8287125,NA,0
9,Dougie,Pre_Feeding,Low,0,2,foodPresentation,50.65052889,6.344,0
11,Hugo,Pre_Feeding,High,1,2,before,41.53855286,NA,0
11,Hugo,Pre_Feeding,High,1,2,foodPresentation,50.78565111,7.867,0
12,Jamaima,Pre_Feeding,Low,0,2,before,35.07941833,NA,0
12,Jamaima,Pre_Feeding,Low,0,2,foodPresentation,56.225072,33.103,0
14,Livvie,Pre_Feeding,Low,0,2,before,43.73870857,NA,0
14,Livvie,Pre_Feeding,Low,0,2,foodPresentation,48.2089425,9.866,0
15,Lock,Pre_Feeding,Low,0,2,before,33.535372,NA,0
15,Lock,Pre_Feeding,Low,0,2,foodPresentation,33.64537667,3.419,0
16,Lucy,Pre_Feeding,Low,0,2,before,38.72724667,NA,0
16,Lucy,Pre_Feeding,Low,0,2,foodPresentation,49.00299333,23.509,0
17,Prince,Pre_Feeding,Low,0,2,before,36.76923,NA,0
17,Prince,Pre_Feeding,Low,0,2,foodPresentation,37.11984333,9.131,2
18,Rio,Pre_Feeding,High,1,2,before,36.41967833,NA,0
18,Rio,Pre_Feeding,High,1,2,foodPresentation,39.34948857,7.927,0
19,Sandie,Pre_Feeding,Low,0,2,before,38.578665,NA,0
19,Sandie,Pre_Feeding,Low,0,2,foodPresentation,38.84146857,3.762,0
20,Tudor,Pre_Feeding,High,1,2,before,35.88188667,NA,0
20,Tudor,Pre_Feeding,High,1,2,foodPresentation,39.39632,4.872,0
